Sentence_id,sentence
51939,"قال رئيس حزب الأمة الثورة تراكمية وهي سيجارة آخر زول قبضوه يتحاكم وأطالب قوي الحرية والتغيير أن تخرج لنا الوثيقة الدستورية إن وُجِدت"
51940,"العريس من بشتو و اتفاق جوبا الذي يضم مئات البنود منها على الأقل بند واحد شايفاو من أشجع نصوص الاتفاقية و يمثل رشة الخريف و بشة العريس"
51941,"لفرصة جات هسي لاصطياد عصفورين بحجر انصاف أهل دارفور واعفاء الديون بنضحي لمنو بتأجيل العدالة و تأخير الفوائد"
51942,"السلام سمح و السلام حلو و السلام نور و حتى ان كان سلام و السلام"
51943,"قالت وزيرة المالية السلام  يعني مرحلة النقاهة من الحرب هسه السودان بيعيش 10 سنوات في طور النقاهة من الحرب"
51944,"لو اتبنت الحكومة مشاريع قومية من مواردنا البنعاين ليها لهسي دي ما كتيرة اتوقعت الحكومة تقول ح نبني أكبر محطه طاقة شمسية بأفريقيا"
51945,"الصاح يفترض يكون في خطة تنمية أو مشروعات مدروسة تخفف معاناة اصحاب الوجعة ضحايا الحروب"
51946,"مفترض تخطو نحو التنمية المستدامة و الاستقرارهناك حوجة شديدة عديل في مجال التعليم و الصحة و مياه الشرب النقية و مكافحه الأوبئة"
51947,"بغض النظر عن القروش أو العشرة سنوات دي حتعول لي أهلها أو لا الناس ديلا بستهلوا مليار سنة لي قدام"
51948,"شايف أبناء شرق السودان قالوا واي بس يا احبابي دي حاجة غصب عنكم وعن اي زول في البلد دي السلام هو الحل"
51949,"عاوزين سلام مجان المات مات والحي يخلوهو حي في حتتو القاعد الفيها"
51950,"ناس المجلس العسكري وقوي الحرية والتغيير بيذكروني اولادي لمن الواحد يكسر ليه كباية كل واحد يقول التانيةكسرا"
51951,"عينكم في الفيل تطعنو في ضلو الخايف من السلام يقعد ساي"
51952,"لمتين ح نقعد ونتدسدس ف بيوتنا عشان خايفين من المووت والماتو ديل البياخد ليهم حقهم منو"
51953,"مافي معركة من غير ووبات المهم في النهاية اننا نربح المعركة دي"
51954,"الناس تحاول تدي طاقه ايجابيه لي بعض يخوانا ما تندجروا رقبة بعض"
51955,"الشعب السوداني بيعمل في شي عظيم لكن للأسف البلد جايطة و الأرواح زاهقة"
51956,"عاملين موكب وبيهتفوا قاموا ناس الشرطه ضربوهم بمبان زي الليل قوموا قال دايرين يتفرتقوا ويدسو في بري"
51957,"الناس هربوا بري الجماعة بقوا بين الكجر خلفهم واسود البراري أمامهم يقبلوا وين"
51958,"ليه اي زول بختلف معاكم في الرأي لازم يكون كوز الما بتريدو خاف الله فيو"
51959,"بمبرنا واحد صاجنا واحد كسرتنا واحدة لحدي ما نحقق المدنية و السلام"
51960,"يزيلو التمكين ويلمو القروش يتمكنو هم ونحنا تايهين وسطهم الجوع قتل الناس"
51961,"القروش الي قاعدين بيصادروها بدسوها بوين مدام بتصادروا كيف ما بتلاقوا الكاش"
51962,"ما تشتغلي ب اي واحدة تقول ماف سلام في بنوت كتار انصرافيات ساي"
51963,"كتار الي بفتكرن نفسهن زرقاء اليمامة بعرفن كل شي و لكن نعامات ساي بدسن راسهن في الواطة"
51964,"ﺍﻟﺘﺎﺗﺸﺮﺍﺕ ﻟﻮ ﺟﺎﺕ كابسة ﺯﻭﻝ ﻳﺠﺮﻱ ﻣﺎﻓﻲ ﺍﻟﺒﺠﺮﻱ ﺩﺍ ﻋﺎﻭﺯ ﻳﺰﻋﺰﻉ ﺍﻟﺼﻒ ﻣﺎ ﺗﺠﺮﻭﺍ ﺑﻞ ﺑﺲ"
51965,"قال دقلو الاقصاء ما بودي اي بلد لي قدام بنقيف محلنا ما بنتقدم"
51966,"قال دقلو الناس ديلك كانوا شغالين تمكين ديل جو شغالين تمكين أكتر منهم"
51967,"قال دقلو نطمنكم مافي انقلاب لا جيش لا دعم سريع لا أمن لكن بعد ده ما بنجامل زول حنقول الحقايق في التلفزيون"
51968,"قال دقلو موضوع الخروج من قائمة الإرهاب مربوط بالعلاقات مع إسرائيل و احنا شعبنا فتران و لتزم نشوف مصلحتنا"
51969,"قال دقلو اسرائيل متطورة ونحن محتاجين لها شديد وعايزين علاقات ما تطبيع و بنعمل استطلاع للشعب السوداني"
51970,"ما وصينا بإقالة والي كسلا لكن قلنا جييو لينا حل لأزمة ناس شرق السودان"
51971,"قال وزير الخارجية ما عندنا استعداد نسوي أي شيء في علاقتنا مع أي دولة تانية إلا البتحددو السودان حسب مصالحه"
51972,"قال وزير الخارجية القرار ما لزول القرار متروك للسودان وأولوياته من حيث علاقاته الخارجية مع أي دولة"
51973,"ركشة السلام ما مجانية لكن الخوف توقف مننا قبل فترة الضمان نقبل وين"
51974,"ردًا على وزير النقل الجديد انت من هسة في فتيل مسكت جمرة كان خليتها في ايدك تحرقك كان رميتها تحرق الناس"
51975,"انا كمواطن بتمنى تشتغل بي مخك وتعمل الحاجة الشايفها وفي مصلحه البلد ماتبقى زول ساي وتسمع كلام الناس خليك حكيم في رأيك"
51976,"اشتغل وماتفكر في دا كوز ودا جك اهم الشي الشباب ابقى عشرة عليهم ديل ببيضو وشك قدام الشعب وبنجزو ليك في مهمتك الوطنية"
51977,"الناس البتقوليك الشعب خلاص كسر حنك و الناس بردت انا عايز اقوليك حاجة في ناس بتخطط بي تحت و بدسديس"
51978,"جهاز الامن يجمع اطارات السيارات القديمه في امدرمان و اذا الشّعبُ يَوْمَاً أرَادَ الْحَيَـاةَ ما حيقول والله مافي لساتك و يكسر الحنك"
51979,"كمامتك في وشك خلك في يدك والقيادة تيكة مش سوداننا ده بنبنيهوا و حنبنيهوا"
51980,"طلعنا كلنا عشان قضية واحدة وكنا بنردد بيها لاتعليم في وضع اليم مرة سالتو قلت ليهو انت في سنة رابعة مالك ماكاسر الحنك"
51981,"نظرتنا كشباب للتغيير شنو وليه بنطالب بيه وبندفع ارواحنا عشانو ليه قررنا نواصل درب التغيير بعد اربعة شهور من بدايتو وما رضينا نكسر الحنك"
51982,"في السودان مافي حاجه اسمها مخططات للسلام انت بس تصحي من الصباح وتشوف الحنك شنو"
51983,"بكرة الحنك النضيف متاريسك جبال كمامتك في وشك خلك في يدك الساعة وحدة يا سانة زغرودتك فوق وتبقي مارقة"
51984,"الحاجة في البيت الصباح نعيّد عليها تدينا دعوة وزغرودة تعدل ليك حال الزمن المايل اختك جنبك اخوك جنبك وكلنا نمشي نفتش احقاق السلام"
51985,"اي زول ساكن برّي بتحنكوني عن متاريس برّي أحنككم بسد مروي"
51986,"يا اخوانا واحد يدق يضرب لي فجر السلام و المدنية دا يشوفو وين"
51987,"والله ي جماعة حنك السلام مجهجهني عدیل ما عرفت الناس دايرينو ولا ما دايرينوا"
51988,"اللغة الركيكة دي بتخلي كتير من الناس ما تدور حوار السلام الزول البكتب بالطريقة دي جنبوهو في الركن"
51989,"الحنك في التنظيم الحكومة خزنتها فاضية و المليشيات البتحامي ليهم دي من غير قروش ما عندها ليهم التمرة"
51990,"في السودان اكسر الحنك وماتتمسك لو النت مامرقك السيرفر بمرقك لو الاتنين مامرقوك الكهرباء بتقطع السلام بجيب الكهرباء"
51991,"المفاوضات دي حاجة سياسية زيها وزي حقت جوبا والناس المثلو الشمال والوسط الجايطين في بعض"
51992,"أنا البقولوا مكونات الشرق واختلافي معاك البجا جزء رئيسي من المكونات القبلية في السودان والشرق لكن ما الاغلبية في شرق السودان"
51993,"بني كوز حريفين شديد في تحميش نار الصراعات والفتن القبلية بين قبائل السودان عبر السنين وما يحصل في الشرق خير دليل"
51994,"نشكي لله اي زول عايز يصل السلطة لمصلحتو الشخصية او الحزبية أو القبلية السودان ده مكتوب عند شيخ الدمازين ولا شنو"
51995,"ديل زمان قلنا ليكم ناس الفتنة اول اشعلوا الفتنة القبلية وماتو كوم بسببهم والناس قاعدة تعاين"
51996,"هسي جا الدور التاني قفل البلف من السودان واعلان الانفصال وكأنهم عايشين براهم في الشرق"
51997,"اذا عاينوا هيدركوا حقيقة أنو البلد دي في نواتها بتتكون من فصيلين بس الهم إدارات أهلية متمثلة في القبائل وشيوخها و الُطرق الصوفية"
51998,"جذور المشكلة لازم تتحل القبلية اللي كرهت ناس السودان في بعض هي اللي مفروض يقعدوا ويحلوها"
51999,"قالوا ماعاوزين مشاركة  احزاب فى الحكومة الانتقالية وبقينا فى القبلية والجهوية ولله درك ياوطن"
52000,"إقالة الوالي بتعني انو الحكومة رضخت للمزايدات القبلية و بعني انو في ابن قبيلة احسن من ابن القبيلة التانية"
52001,"ماف اقالة للوالي عشان ارضاء طرف واحد علي حساب مفاهيم الثورة"
52002,"الرشايدة والفور والفلاتة والهوسا والزغاوة والبني عامر والحسانية وجزء من الحلفاويين والبشاريين حتى الجعليين كلها قبائل متداخلة"
52003,"قبايل كتيرة حدودها متداخلة  في حدودها القبلية مع دول اخرى ولايزايد احد في وطنيتهم وسودانيتهم"
52004,"توقيع سلام ومفاوضات لإحلال سلام على ناس لسع ما بحلمو بمستوى المعيشة الانت بتتكلم عنها دي ونسة جبنة ساي"
52005,"اهل الشرق كمان عملوها واضحة شديد زمن الكيزان خشمهم م تسمع بعد ما سقطت وقع كل واحد عامل لينا جيفارا ياخ خلوا العبث دا"
52006,"عندك مطالب على عينا وراسنا لاكن تقول يسقط حمدوك وتقفل المؤسسات ماحقتك براك عشان تتحكم فيها"
52007,"هووي ما قامت الثورة عشان تقسم السودان الكيزان بلوكم بل السنين ماقلتو ووب"
52008,"دام عارفين فى تدخل استخباراتي دولي في أزمة شرق السودان عملتو شنو وناس برهان وكباشي جارين وراء المناصب وفى اختراق امني"
52009,"الشكلة المدورة دي حالياََ من الهدندوة فقط وما كل الهدندوة كمان منو الداير يعمل مشاكل في الشرق"
52010,"الي بعمل المشاكل زول أتصور مع مندوب إغاثة ولا زول قفل الشوارع والميناء ويهدد ويطعن ويقتله"
52011,"يا جماعة معقولة شرق السودان ده كلو ما فيهو ناس كبار عاقلين يقعدوا الناس ديل واطة ويفهموهم أنه البعملو فيهو ده غلط"
52012,"المشاكل ما بتتحل بالطريقة دي ولازم الناس تتفاوض وتتناقش عشان توصل لي حل البلد دي حقتنا كلنا"
52013,"الحاجة الواحدة الصاح القالها حميدتي لمن قال بلدكم دي زي الجلابية المشمسة محل ما تمسكة تنشرط"
52014,"وقعوا السلام في جوبا شرق السودان ولع يطفوا الشرق الغرب يدور طفوا الغرب الشمال يقوم البلد دي السلام آبيها مالوا"
52015,"ردًا على تجمع المهنيين دا انتو اتردمتو ردم ما اتردمو حرامي غسيل في حارة صعايدة"
52016,"ردًا على تجمع المهنيين ايام الدق الجد جد ياخ نحن انجلدنا جلد في الاوسط امدرمان و ما شفنا يوم سلام السلام لازم يكون داخلي"
52017,"ردًا على تجمع المهنيين شوفو ليكم شغلة اعملوها تاني كلماتكم الرنانة دي م بتغتي تاني"
52018,"السودان من قديم الزمان عايش على كدا المسلم مجاور المسيحى ومخالط اليهودى ومتعامل مع الهندوس وهكذا"
52019,"مافى زول اشتكى وقال هو مضطهد وما قادر يمارس شعايره الدينية تعايشنا مع الاديان ما قادرين نتعايش مع قبايل"
52020,"عن اتفاقية السلام بركة الوقعتو السلام يا الله توقعو الدولار ببركة من صلى و قال يا الله"
52021,"عن اتفاقية السلام إن شاء الله يجيب حقو مايبقي لينا وجعة ومناصب ومرتبات من دم الشعب والشعب مات جوعا ومرضا"
52022,"عن السلام يا حمدوك نحن م دايرين سلام ولا دايرن نعبر ولا سننتصر نحن عايزين ناكل ونشرب م تعديها لينا في الفارغة وتكمل قروشنا مواصلات"
52023,"ديل تجار وطن وسماسرة غلابة ساي لاقاعدين في معسكر حق نزوح لا مشردين وسط الخيم بتاجروا بقضية هامش وهم مايمثلو الانفسهم"
52024,"همهم الاول السلطة ومين يبقي وزير ومين حيعين اخوهو ومين ليهو مخصصات"
52025,"ردًا على السلام بعده ركز لينا ف الشغل البنتج لي السودان وبمرقنا من المجاعه ده بكره تجي مقلب عيونك سنعبر وسننتصر"
52026,"في مكان اسمو كسلا برضو فيهو حروبات الايام دي انت لمن تطالب بي انو يطلعوك من قائمه الإرهاب اعرف انو بلدك داعمة إرهاب ولا لا"
52027,"وكسلا دي لو م قادرين تفرضو هيبه الدوله فيها دا لو عندكم هيبه سلموها إريتريا اصلاً تحت تحت قالو حقتنا يمكن نعيش بدل التهميش العيشنو ده"
52028,"هو انت الوقت كلو جاري ورا السلام هو ياتو سلام القاصدو انتا دا نحنا دايرين سلام داخلي لأنو سلام داخلي ماف هو خارجي نعمل ليهو شنو"
52029,"مادايرين سلام اعلام عاوزين سلام حقيقي عاوزين اخوانا الفي دارفور يعيشو حياة كريمة"
52030,"دايرين عيشة بدون حروب وبدون صوت البنادق دايرين السلام الحقيقي لي كل شبر في الوطن"
52031,"في ناس كتار ما عايزين سلام ولا هو من أولوياتهم ودي حاجة مخزية و محبطة شديد"
52032,"يا ناس في نازحين ولاجئيين في البلد دي في ناس قطية ساي ما عندهم"
52033,"يا ناس في ناس ما عندها بيوت زاتو عشان يشيلها سيل ولا نيل في ناس قاعدة في الكهوف و بياكل صفق أشجار السلام أولوية عشان يعيشوا"
52034,"الشرق محتاجين مدارس وتعليم الناس دي مافي فرق بينها وبين الغنم  ولسة عايشين في العصور الحجرية القديمة"
52035,"مشاكل السودان دي زي علبة المناديل كل ما نحل مشكلة تطلع مشكلة جديدة طوالي"
52036,"الشرق دا مابراهو والله اشمعنى فجأة كدا الأمور تصل للدرجة دى بعد خلع الكيزان"
52037,"ترك و جماعتو تلاتين سنة نهبوا برامج معونات شرق السودان و خلوا الغلابة اكتر فقرا و جهلا  و دايرين يتموا الناقصة"
52038,"انتو اكبر مهدد للوحدة بطلو اقصاءات وخلو البلد تتوحد بتمشي لقدام"
52039,"البلد ف مهب الريح السودان كله مهمش يا وزيرنا قولوه بالواضح واصلحو بدل ما قاعدين نتكلم"
52040,"عاوزين اصلاح يا هوي اصلاح انتو يداب عرفتو صفقو ليهم وهميين ساي"
52041,"انتو المشكله زاتا ارحلوا وخلونا في حالنا ي عملاء المحاور معليش قبضتوا كم ان شاء الله السعر كويس"
52042,"اوع تكونو قبضتوا الثمن قبل البيعة تتم بداية الحروب في الإقليم الغربي كانوا بقولو نفس الكلام حدي اتطورت وبقينا من إتفاق وكل نفاق"
52043,"حلو مشاكلكم حنك مطامع ومؤامرات  واجندة خارجيه ده لسع شغال"
52044,"والله ربنا يكضب الشينة بس لكن البلد حتفتت تفتيت مايعلم بيهوا غير رب العباد"
52045,"الناس تكون واضحة عشان تخت يدها على الجرح ما دايرين والي كسلا ليه"
52046,"ما دايرين والي كسلا عشان من قبيلة بني عامر ولا ما دايرين بني عامر ذاتو و دي ما بلدهم"
52047,"اصلا اي يزول يتكلم فالقبايل المفروض يتحبس بقضية عنصرية مامعقولة ياخ الى اليوم يحكمونا عجايز جهلة بإسم القبيلة"
52048,"ماخرب السودان ودخلها في حروب إلا امثالك دخلي شنو في جدك انا ولا احفاد جدك لا كسلا ولا بورسودان حكر على قبيله معينة"
52049,"دي ارضنا من قبل السودان يجمعنا ويجي واحد مثلك يقول الارض ماحقتكم"
52050,"ما تجيك دولة مختلطة من جميع القبائل وتكون زي قبيلتك السودان وطن لكن ما اصل"
52051,"هسي لو في زول شمالي ولا غرباوي جدو اتولد في الشرق هل عندو الحق يقول رايو"
52052,"ولا انتو الوحيدين الدايرين تمشوا الإقليم كلو بمزاجكم وهل السودان مافيه بني عامر خالص"
52053,"عليك ياعبدالرحمن خته الكوره واطة وطلعنا من موضوع القبايل دا الناس دي براها فايرة اسي يجو يقولوا الشريفي دا قاصدنه وعنصري"
52054,"لمقاتلين من كسلا حاربوا في المهدية وهم ليسوا بني عامر ما يهيج عليكم الناس هو ادعاءكم ان كسلا تتبع لارتريا و ولاءكم المزدوج"
52055,"قوم لف السودان دا حق السودانيين وكلهم حاربوا ودافعوا عنه سمعت بمعركة كورتي"
52056,"هل قابلك بني عامر فيها المشكلة يا حبوب هي حتة صغيرة الولاء المزدوج ياتكونو سودانيين ولا اريتريين"
52057,"في اللهجه السودانيه عندنا كتير كلمات من النوبي مثلا كديسه من اللهجة خلفاوي او فجكدي و من اللغات التانيه الموجودين في السودان زي اهل البجا"
52058,"فى اى تدخلات خارجية ولا كيزان و مطالب البجا و خصوصا مراجعة الجنسية يقف وراءها كل السوادانين بشرق السودان"
52059,"لانو ما معقول زول تكون عارفه كان عايش فى معسكر لاجئين و القانون لا يمنحه الجنسية تجي فجأة تلقاه بقى والى او وزير او يتحدث بأسم الشرق"
52060,"السودان بين قوسين الفَسَحة البجا قالوا هم دولة الشرق و الخرطوم دي تنكر جاز واحد تنتظر بس ما يصلهم و الله"
52061,"البجا بعد الانفصال ما حيفرق معاهم الجوع و المرض لانه دا واقعهم  اصلا"
52062,"الكلام انتوا يا القايلين السودان دا الخرطوم حتعيشوا كيف  بتزرعوا ولا بتريموا"
52063,"كدي خلينا من ده كلو امشو حصلو البجا في شرق السودان  مطالبين بحق تقرير المصير"
52064,"نحن ما بفرط في شبر واحد من أرض الوطن كفاية جنوبنا الحبيب"
52065,"وشنوو الشكشكه بتاعة البجا هل الشرق حقهم ديل حقو يرحلوهم علي ولايات السودان"
52066,"ما يخلو هدندوه ولا بني عامر في الشرق نهائي وفرض سيادة الدولة علي اراضيها بلاش قبلية"
52067,"هناك موضوع البجا والبجا اهلنا ومادايرين ليهم المضرة لكن مايضروا السودان حرام كده وهم نفسهم تعبانين"
52068,"المفروض الناس تتنازل عشان البلد كلها مش تحارب الناس بدعوى عنصرية قبلية مش الواطة دي بتشيلنا كلنا"
52069,"المشكلة هي أصلا بدأت من القضارف تقريبا وكانا  قبلي سنة وشوية تقريبا والمشكله كانت بين البنى العامر والنوبة وكان سببها موضوع الموية"
52070,"اصلا في القضارف الببيعوا الموية هم البنى العامر وببيعوها بالكارو بتاع المية فانا فقالوا انو واحد من أصحاب الكارو زاد السعر"
52071,"واحد نوباوي كورك لبياع الموية فحق الموية بعد ما كب ليهو الموية قام قال لنوباوي سعر زيادة"
52072,"قام النوباوي اتخانق مع بتاع المية في السعر بياع الموية قام طلع سكين و اتشاكل مع الزبون النوبي"
52073,"قامو النوبة ألفي المنطقة كلهم اتشاكلوا مع بياع الموية البنى عامراوي دا و قتلوه في ارضه"
52074,"قامو البنى العامر عملوا استنفار وقامت شكلة كبيرة جدا بين القبلتين البنى عامر قتلو برضو ناس من النوبة"
52075,"النوبة قامو حرقوا حي كامل ملان بالبني عامر فطوالي البنى رسلو لاهلهم ألفي كسلا وبورتسودان انهم يجو القضارف يساعدوهم"
52076,"فعلا اتحركت بصات من كسلا في اتجاه القضارف لكن الوالي سوا اجتماع طارئ"
52077,"قعد الوالي مع رؤساء القبائل معاهم وحاول انو يهدئ الأمور والأوضاع ويطفي النار القاعدة تاكل في الشرق"
52078,"وقف بعض من الجيش في مدخل الولاية من ناحية كسلا ومنعوا دخول البنى العامر الجاين من كسلا وعمدة البنى العامر"
52079,"المعلمين منهم اتصلوا على كل رؤساء القبائل والعمد في كسلا وبورتسودان انهم ما يجو القضارف و كل زول باس راس التاني و ضبطت"
52080,"في بعض من أفراد القبيلة كانو لسع ثايرين دايرين ياخدوا حقهم بيدنهم  فبقوا يعملوا مشاكل مع النوبة في كسلا وبورتسودان"
52081,"قبيلة بني عامر منعت النوبة يجو خاشين كسلا او بورتسودان و قادت الفتنة في الولايتين"
52082,"بالتالي المشكلة هدأت وانطفت في القضارف لكن قامت في كسلا وبورتسودان هدت نار الفتنة لكن المشكلة ظهرت تاني مع تعيين الولاة"
52083,"قامو عينو والي القضارف من البنى العامر وهم اصلا البنى العامر في القضارف ماف زول بريدهم"
52084,"البني عامر كانو في معسكرات وقرى للاجئين حتى لما دخلو المدينة ممكن بتلقيهم دايما بسكنو جمب بعض"
52085,"طبع البني عامر شايفين السودانيين ديل زاتو ما ناس أو تقدري تقول انو هم شايفين نفسهم انو هم احسن ناس"
52086,"بني عامر بفكروا ان مستحيل ينزلو لمستوى السودانيين مع انو والله السودانيين شيفانهم مجرد لاجئين لا اكتر ومستحقرنهم شديد كمان"
52087,"فاكيد انا كسوداني حر مستحيل أرضى بانو لاجئ يجي ويحكمني لكن برضو حكومة الولاية قدرت تحل المشكلة دي بسياسة وحكمة َ"
52088,"وغير كدة القضارف فيها اكتر من اثنين و عشرين قبيلة عشان كدة كونو يختاروا والي حسب قبيلة معينة صعب جدا"
52089,"حكماء وعمد القبائل في القضارف اتكلموا مع المواطنين قالو انتو شوفوا الزول دا مؤهلاتو شنو وامكانيتو شنو وجربو لو مانفع معاكم انحنا حانغيروا"
52090,"في زمن الإنقاذ كان والي بورتسودان من الهدندوة وبالجد خدم منطقتو كويس جدا وساهم في بناء البنية التحتية لبورتسودان"
52091,"حتى انو اشتهر باسم إيلا زلط لانو كان بين كل شارع والتاني عمل زلط أو ردمية عشان كدة هسة  متمسكين بانو والي الولاية يكون منهم"
52092,"ما يكون من اللاجئين البنى عامر وطبعا حاليا واليوم تم خلع والي كسلا وعقبال بورتسودان والقضارف كمان يا قادر يا الله"
52093,"الزول دا عارض حكومة الإنقاذ مع شلته في المؤتمر الشعبي وخاضوا خصومة شهد عليها كل دول المنطقة"
52094,"بس الفرق بينه وبين أشباه الرجال ما مشي طالب بفرض عقوبات على دولته ولا طالب بفرض وصايا دولية على بلاده"
